Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,969.849976,969.849976,955.150024,964.599976,953.666077,426398
2018-11-14,969.875000,981.825012,968.000000,979.224976,968.125305,181370
2018-11-15,985.000000,988.000000,979.224976,987.025024,975.836975,171604
2018-11-16,991.450012,1005.000000,990.000000,999.450012,988.121094,198940
2018-11-19,1005.000000,1010.000000,1001.825012,1007.000000,995.585510,181224
2018-11-20,1009.849976,1009.849976,1000.000000,1007.625000,996.203430,81776
2018-11-21,1010.000000,1011.950012,1000.500000,1009.775024,998.329102,79936
2018-11-22,1006.500000,1017.450012,1000.125000,1002.724976,991.358948,193244
2018-11-26,1008.500000,1026.500000,1004.974976,1024.750000,1013.134338,770400
2018-11-27,1020.500000,1032.000000,1020.424988,1029.474976,1017.805725,537360
2018-11-28,1033.800049,1048.550049,1031.500000,1042.324951,1030.510010,127678
2018-11-29,1048.500000,1068.750000,1048.000000,1065.000000,1052.928101,1834330
2018-11-30,1067.500000,1068.474976,1055.525024,1058.574951,1046.575806,443890
2018-12-03,1061.125000,1070.349976,1053.650024,1056.724976,1044.746826,1114582
2018-12-04,1057.000000,1057.000000,1041.000000,1044.375000,1032.536865,92604
2018-12-05,1040.875000,1053.500000,1038.099976,1049.724976,1037.826172,338308
2018-12-06,1043.000000,1049.974976,1042.500000,1047.050049,1035.181641,145590
2018-12-07,1050.000000,1058.449951,1040.500000,1052.824951,1040.890991,159076
2018-12-10,1035.000000,1051.849976,1034.550049,1044.574951,1032.734497,182730
2018-12-11,1030.000000,1035.349976,1016.075012,1030.400024,1018.720276,310624
2018-12-12,1032.500000,1045.000000,1030.150024,1042.675049,1030.856201,100362
2018-12-13,1045.000000,1061.949951,1045.000000,1050.525024,1038.617188,118650
2018-12-14,1055.849976,1058.824951,1043.500000,1046.875000,1035.008545,132566
2018-12-17,1054.500000,1066.675049,1049.599976,1065.224976,1053.150513,203660
2018-12-18,1064.500000,1070.000000,1051.500000,1068.224976,1056.116455,154006
2018-12-19,1069.500000,1079.074951,1057.199951,1061.324951,1049.294678,156168
2018-12-20,1059.000000,1068.974976,1051.375000,1066.974976,1054.880615,105198
2018-12-21,1067.000000,1074.500000,1054.000000,1055.750000,1043.782959,212774
2018-12-24,1055.000000,1055.000000,1039.550049,1042.025024,1030.213501,123358
2018-12-26,1042.449951,1064.000000,1035.300049,1060.099976,1048.083618,204484
2018-12-27,1069.900024,1069.900024,1050.650024,1053.050049,1041.113525,172220
2018-12-28,1057.050049,1068.500000,1057.050049,1061.449951,1049.418213,114672
2018-12-31,1068.500000,1071.000000,1058.500000,1061.224976,1049.195801,111664
2019-01-01,1061.500000,1075.000000,1053.500000,1073.724976,1061.554199,251790
2019-01-02,1072.500000,1073.974976,1060.050049,1062.974976,1050.926025,185782
2019-01-03,1063.000000,1063.400024,1052.949951,1056.125000,1044.153687,218396
2019-01-04,1055.574951,1063.500000,1055.574951,1058.875000,1046.872559,151206
2019-01-07,1062.525024,1067.000000,1057.099976,1060.000000,1047.984741,115032
2019-01-08,1062.500000,1064.000000,1048.800049,1051.425049,1039.506958,215866
2019-01-09,1060.000000,1061.500000,1051.500000,1058.099976,1046.106323,92812
2019-01-10,1058.000000,1061.574951,1051.750000,1054.775024,1042.818970,115732
2019-01-11,1057.000000,1062.000000,1053.500000,1056.074951,1044.104248,90398
2019-01-14,1057.275024,1057.275024,1048.500000,1050.425049,1038.518311,54542
2019-01-15,1052.500000,1063.000000,1050.025024,1060.525024,1048.503784,131320
2019-01-16,1060.000000,1062.000000,1054.449951,1060.000000,1047.984741,5785706
2019-01-17,1060.500000,1067.425049,1057.000000,1064.525024,1052.458496,345492
2019-01-18,1063.000000,1069.875000,1057.500000,1065.599976,1053.521240,100598
2019-01-21,1074.500000,1082.500000,1062.775024,1073.275024,1061.109253,360864
2019-01-22,1086.500000,1086.500000,1065.000000,1067.175049,1055.078491,128934
2019-01-23,1068.050049,1075.025024,1051.199951,1054.875000,1042.917847,158642
2019-01-24,1056.000000,1060.824951,1048.500000,1050.949951,1039.037231,262316
2019-01-25,1051.949951,1054.875000,1045.050049,1046.974976,1035.107422,231336
2019-01-28,1049.500000,1050.449951,1038.625000,1041.775024,1029.966309,1431442
2019-01-29,1042.000000,1042.000000,1026.900024,1029.050049,1017.385620,275306
2019-01-30,1038.000000,1038.000000,1014.000000,1016.275024,1004.755432,260046
2019-01-31,1019.500000,1045.000000,1011.500000,1040.574951,1028.779907,202786
2019-02-01,1041.000000,1058.500000,1039.000000,1045.824951,1033.970337,335200
2019-02-04,1049.500000,1056.500000,1041.500000,1053.500000,1041.558472,154024
2019-02-05,1054.500000,1059.500000,1048.625000,1057.449951,1045.463623,206094
2019-02-06,1060.000000,1062.599976,1056.974976,1061.500000,1049.467773,158162
2019-02-07,1063.500000,1065.000000,1054.500000,1058.525024,1046.526489,127212
2019-02-08,1057.000000,1071.400024,1052.474976,1061.574951,1049.541870,145398
2019-02-11,1061.500000,1070.000000,1057.000000,1068.675049,1056.561523,704048
2019-02-12,1069.500000,1074.150024,1062.599976,1064.849976,1052.779785,79184
2019-02-14,1070.000000,1070.000000,1053.550049,1054.875000,1042.917847,145514
2019-02-15,1055.000000,1055.000000,1039.300049,1050.550049,1038.641968,145052
2019-02-18,1051.525024,1059.599976,1043.050049,1044.974976,1033.130005,87538
2019-02-19,1045.500000,1054.349976,1039.074951,1042.150024,1030.337158,79598
2019-02-20,1042.500000,1055.000000,1040.824951,1053.275024,1041.336060,132526
2019-02-21,1053.500000,1059.500000,1047.099976,1057.574951,1045.587158,103756
2019-02-22,1060.000000,1062.449951,1044.550049,1045.824951,1033.970337,480470
2019-02-25,1049.224976,1063.750000,1049.224976,1061.675049,1049.640869,133660
2019-02-26,1058.949951,1062.000000,1051.500000,1055.125000,1043.165039,122694
2019-02-27,1057.000000,1062.375000,1044.250000,1045.800049,1033.945801,154796
2019-02-28,1045.900024,1053.000000,1038.025024,1041.074951,1029.274170,126944
2019-03-01,1042.000000,1057.449951,1039.224976,1041.599976,1029.793335,235436
2019-03-05,1047.000000,1055.300049,1035.125000,1053.750000,1041.805542,221822
2019-03-06,1053.750000,1056.550049,1045.974976,1051.525024,1039.605835,528732
2019-03-07,1055.000000,1064.900024,1048.000000,1061.324951,1049.294678,120780
2019-03-08,1059.974976,1065.400024,1055.324951,1063.800049,1051.741699,116720
2019-03-11,1064.275024,1072.000000,1061.000000,1065.025024,1052.952881,149556
2019-03-12,1072.500000,1087.449951,1068.724976,1085.300049,1072.998047,259734
2019-03-13,1086.000000,1116.500000,1086.000000,1113.050049,1100.433472,600894
2019-03-14,1117.500000,1123.625000,1105.300049,1111.625000,1099.024536,181484
2019-03-15,1112.500000,1130.000000,1112.500000,1125.750000,1112.989502,213158
2019-03-18,1130.275024,1145.449951,1125.150024,1130.724976,1117.908081,441558
2019-03-19,1131.500000,1138.000000,1125.550049,1133.849976,1120.997681,477764
2019-03-20,1135.000000,1150.000000,1131.224976,1149.599976,1136.569092,284036
2019-03-22,1152.099976,1153.375000,1134.550049,1137.425049,1124.532227,230298
2019-03-25,1134.875000,1143.849976,1128.650024,1141.000000,1128.066650,1061626
2019-03-26,1140.949951,1157.500000,1136.324951,1155.099976,1142.006714,381634
2019-03-27,1155.599976,1163.349976,1140.150024,1150.099976,1137.063477,287574
2019-03-28,1150.099976,1163.500000,1142.875000,1150.275024,1137.236450,262846
2019-04-01,1162.500000,1166.175049,1152.224976,1155.025024,1141.932617,1049036
2019-04-02,1157.574951,1158.300049,1142.875000,1148.250000,1135.234375,139184
2019-04-03,1147.500000,1157.724976,1145.000000,1147.625000,1134.616577,104400
2019-04-04,1147.500000,1155.525024,1140.025024,1142.150024,1129.203613,132856
2019-04-05,1147.500000,1155.500000,1141.199951,1150.875000,1137.829712,130124
2019-04-08,1157.500000,1161.474976,1139.800049,1144.449951,1131.477417,91250
2019-04-09,1145.000000,1149.824951,1134.199951,1145.000000,1132.021240,81792
2019-04-10,1127.500000,1141.750000,1120.000000,1121.349976,1108.639282,3829796
2019-04-11,1124.500000,1131.250000,1118.500000,1128.400024,1115.609497,103358
2019-04-12,1128.375000,1135.800049,1125.650024,1132.574951,1119.737061,95500
2019-04-15,1133.050049,1146.000000,1132.500000,1142.949951,1129.994507,560424
2019-04-16,1146.150024,1154.074951,1140.500000,1152.375000,1139.312622,570938
2019-04-18,1153.000000,1157.500000,1142.300049,1145.074951,1132.095337,1219606
2019-04-22,1165.000000,1165.000000,1132.675049,1134.125000,1121.269531,408188
2019-04-23,1135.125000,1145.000000,1121.074951,1122.824951,1110.097534,397258
2019-04-24,1126.949951,1141.425049,1123.500000,1139.750000,1126.830811,159164
2019-04-25,1141.500000,1149.400024,1129.300049,1132.425049,1119.588867,304562
2019-04-26,1134.949951,1140.125000,1128.000000,1137.625000,1124.729858,868506
2019-04-30,1140.050049,1160.599976,1139.849976,1157.750000,1144.626709,241650
2019-05-02,1160.500000,1179.375000,1160.000000,1176.974976,1163.633789,390020
2019-05-03,1180.599976,1188.000000,1180.000000,1184.400024,1170.974731,192150
2019-05-06,1179.000000,1179.000000,1160.199951,1164.199951,1151.003540,212404
2019-05-07,1181.500000,1181.500000,1161.025024,1163.724976,1150.533936,141744
2019-05-08,1162.000000,1162.500000,1144.000000,1154.324951,1141.240479,152416
2019-05-09,1156.500000,1156.500000,1135.699951,1145.599976,1132.614502,214828
2019-05-10,1146.000000,1162.500000,1145.000000,1148.375000,1135.358032,201206
2019-05-13,1148.375000,1156.000000,1140.025024,1144.699951,1131.724609,190962
2019-05-14,1147.525024,1155.500000,1137.525024,1145.099976,1132.120117,100274
2019-05-15,1153.400024,1153.599976,1141.599976,1144.449951,1131.477417,137046
2019-05-16,1144.000000,1161.375000,1140.000000,1156.900024,1143.786377,90652
2019-05-17,1158.949951,1184.500000,1155.724976,1180.824951,1167.440186,270886
2019-05-20,1200.025024,1219.824951,1190.050049,1216.474976,1202.686035,439618
2019-05-21,1216.500000,1224.500000,1199.974976,1201.900024,1188.276367,932900
2019-05-22,1208.750000,1213.000000,1197.875000,1202.550049,1188.918945,296066
2019-05-23,1205.000000,1219.650024,1160.849976,1167.175049,1153.944946,442396
2019-05-24,1178.000000,1192.500000,1170.699951,1186.150024,1172.704834,219250
2019-05-27,1203.000000,1210.324951,1186.250000,1204.050049,1190.401978,205954
2019-05-28,1205.125000,1209.800049,1194.025024,1208.125000,1194.430786,116594
2019-05-29,1208.000000,1215.775024,1205.000000,1207.875000,1194.183594,116128
2019-05-30,1214.974976,1223.574951,1206.150024,1219.625000,1205.800415,128820
2019-05-31,1225.050049,1231.974976,1179.750000,1212.449951,1198.706665,287746
2019-06-03,1217.250000,1229.599976,1213.000000,1227.275024,1213.363647,183658
2019-06-04,1228.500000,1232.500000,1221.025024,1227.000000,1213.091797,134662
2019-06-06,1230.000000,1235.000000,1207.250000,1212.525024,1198.780884,219694
2019-06-07,1212.525024,1226.474976,1205.000000,1224.000000,1210.125854,142520
2019-06-10,1232.500000,1233.449951,1217.000000,1221.300049,1207.456421,110342
2019-06-11,1226.500000,1229.800049,1220.974976,1224.675049,1210.793213,823150
2019-06-12,1224.375000,1224.425049,1212.500000,1213.699951,1199.942505,71886
2019-06-13,1222.500000,1227.074951,1207.500000,1223.650024,1209.779785,325148
